DeviceTag: 2,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-07-23 20:35:06.172,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
294898,0.2682,-0.0125,-0.0074,0.9632,0.0091,0.0114,1.1127,0
295065,0.2682,-0.0125,-0.0075,0.9632,0.0053,-0.0026,1.0967,0
295232,0.2683,-0.0125,-0.0075,0.9632,0.0149,0.0135,1.0833,0
295398,0.2683,-0.0125,-0.0075,0.9632,0.0155,0.0308,1.0891,0
295565,0.2683,-0.0125,-0.0075,0.9632,0.0069,0.0191,1.0791,0
295732,0.2683,-0.0125,-0.0075,0.9632,0.0128,0.0117,1.1081,0
295898,0.2683,-0.0125,-0.0075,0.9632,-0.0016,0.0088,1.0893,0
296065,0.2683,-0.0125,-0.0075,0.9632,0.0292,0.0154,1.0822,0
296232,0.2683,-0.0125,-0.0075,0.9632,0.0098,0.0090,1.0736,0
296398,0.2684,-0.0125,-0.0075,0.9632,0.0164,0.0050,1.1088,0
296565,0.2684,-0.0125,-0.0075,0.9632,0.0216,0.0161,1.0830,0
296732,0.2684,-0.0125,-0.0075,0.9632,0.0297,0.0194,1.0883,0
296898,0.2684,-0.0126,-0.0074,0.9632,0.0150,0.0227,1.1049,0
297065,0.2684,-0.0126,-0.0074,0.9632,0.0085,0.0289,1.0866,0
297232,0.2684,-0.0126,-0.0074,0.9632,-0.0053,0.0190,1.0938,0
297398,0.2685,-0.0126,-0.0074,0.9632,0.0000,0.0205,1.1155,0
297565,0.2685,-0.0126,-0.0074,0.9632,0.0114,0.0009,1.0867,0
297732,0.2685,-0.0126,-0.0074,0.9632,0.0105,0.0080,1.0924,0
297898,0.2685,-0.0126,-0.0074,0.9632,0.0141,0.0092,1.0984,0
298065,0.2685,-0.0126,-0.0074,0.9632,0.0291,0.0029,1.1142,0
298232,0.2685,-0.0126,-0.0074,0.9632,0.0188,0.0289,1.0962,0
298398,0.2685,-0.0126,-0.0074,0.9632,0.0256,0.0226,1.0996,0
298565,0.2685,-0.0126,-0.0074,0.9632,0.0043,0.0304,1.1057,0
298732,0.2685,-0.0126,-0.0074,0.9632,-0.0057,0.0155,1.1040,0
298898,0.2685,-0.0126,-0.0074,0.9632,0.0090,0.0163,1.1060,0
299065,0.2685,-0.0126,-0.0074,0.9632,0.0159,0.0124,1.0912,0
299232,0.2685,-0.0126,-0.0074,0.9632,0.0123,0.0173,1.0870,0
299398,0.2685,-0.0126,-0.0074,0.9632,0.0021,0.0135,1.0977,0
299565,0.2685,-0.0126,-0.0074,0.9632,0.0140,-0.0052,1.0878,0
299732,0.2685,-0.0126,-0.0074,0.9632,0.0164,0.0150,1.1030,0
299898,0.2685,-0.0126,-0.0074,0.9632,0.0112,0.0159,1.0956,0
300065,0.2685,-0.0126,-0.0074,0.9632,0.0080,0.0087,1.0913,0
300232,0.2686,-0.0126,-0.0074,0.9632,0.0176,0.0085,1.0949,0
300398,0.2686,-0.0126,-0.0074,0.9632,0.0096,0.0039,1.0868,0
300565,0.2685,-0.0126,-0.0074,0.9632,0.0200,0.0096,1.0947,0
300732,0.2686,-0.0126,-0.0074,0.9632,0.0212,0.0127,1.0967,0
300898,0.2686,-0.0126,-0.0074,0.9632,0.0143,0.0085,1.0890,0
301065,0.2686,-0.0126,-0.0074,0.9632,0.0144,0.0139,1.0929,0
301232,0.2686,-0.0126,-0.0074,0.9631,0.0116,0.0127,1.0883,0
301398,0.2686,-0.0126,-0.0074,0.9631,0.0057,0.0188,1.0866,0
301565,0.2686,-0.0126,-0.0074,0.9631,0.0180,0.0050,1.0822,0
301732,0.2686,-0.0126,-0.0074,0.9631,0.0288,0.0154,1.1031,0
301899,0.2686,-0.0126,-0.0074,0.9631,0.0117,0.0056,1.1207,0
302065,0.2686,-0.0126,-0.0074,0.9631,0.0138,0.0189,1.0925,0
302232,0.2686,-0.0126,-0.0074,0.9631,0.0107,0.0134,1.1119,0
302399,0.2686,-0.0126,-0.0074,0.9631,0.0219,0.0299,1.0861,0
302565,0.2686,-0.0126,-0.0074,0.9631,0.0142,0.0152,1.0795,0
302732,0.2686,-0.0126,-0.0074,0.9631,0.0148,0.0167,1.1034,0
302899,0.2686,-0.0126,-0.0074,0.9631,0.0102,-0.0029,1.0879,0
303065,0.2686,-0.0126,-0.0074,0.9631,0.0095,0.0150,1.0980,0
303232,0.2687,-0.0126,-0.0074,0.9631,0.0117,0.0220,1.0742,0
303399,0.2687,-0.0126,-0.0074,0.9631,0.0240,0.0282,1.1147,0
303565,0.2686,-0.0126,-0.0075,0.9631,0.0150,0.0174,1.1037,0
303732,0.2687,-0.0126,-0.0075,0.9631,0.0091,-0.0040,1.1088,0
303899,0.2687,-0.0126,-0.0075,0.9631,0.0079,0.0078,1.0653,0
304065,0.2687,-0.0126,-0.0075,0.9631,0.0113,0.0117,1.0841,0
304232,0.2687,-0.0126,-0.0075,0.9631,0.0106,0.0296,1.0657,0
304399,0.2687,-0.0126,-0.0075,0.9631,0.0083,0.0171,1.0895,0
304565,0.2687,-0.0126,-0.0075,0.9631,0.0227,0.0205,1.0817,0
304732,0.2687,-0.0126,-0.0075,0.9631,0.0064,0.0090,1.0881,0
304899,0.2687,-0.0126,-0.0075,0.9631,0.0047,0.0065,1.1061,0
305065,0.2687,-0.0126,-0.0075,0.9631,0.0136,0.0017,1.0838,0
